Groep;KRWwatertype.code;Abundatieklasse;Categorie;Score;
Helofyten;M10;1;4;1;
Helofyten;M10;1;5;0;
Helofyten;M10;2;1;8;
Helofyten;M10;2;2;4;
Helofyten;M10;2;3;1;
Helofyten;M10;2;4;0;
Helofyten;M10;2;5;-2;
Helofyten;M10;3;1;6;
Helofyten;M10;3;2;3;
Helofyten;M10;3;3;0;
Helofyten;M10;3;4;-3;
Helofyten;M10;3;5;-9;
;R19;1;1;10;
;R19;2;1;10;
;R19;3;1;10;
;R19;1;2;5;
;R19;2;2;5;
;R19;3;2;5;
;R19;1;3;1;
;R19;2;3;1;
;R19;3;3;1;
;R19;1;4;1;
;R19;2;4;-2;
;R19;3;4;-5;
;R20;1;1;10;
;R20;2;1;10;
;R20;3;1;10;
;R20;1;2;5;
;R20;2;2;5;
;R20;3;2;5;
;R20;1;3;1;
;R20;2;3;1;
;R20;3;3;1;
;R20;1;4;1;
;R20;2;4;-2;
;R20;3;4;-5;
;M21a;1;1;3;
;M21a;1;2;3;
;M21a;1;3;2;
;M21a;1;4;1;
;M21a;1;5;0;
;M21a;2;1;5;
;M21a;2;2;4;
;M21a;2;3;2;
;M21a;2;4;0;
;M21a;2;5;-1;
;M21a;3;1;6;
;M21a;3;2;4;
;M21a;3;3;0;
;M21a;3;4;-1;
;M21a;3;5;-3;
;M21b;1;1;3;
;M21b;1;2;3;
;M21b;1;3;2;
;M21b;1;4;1;
;M21b;1;5;0;
;M21b;2;1;5;
;M21b;2;2;4;
;M21b;2;3;2;
;M21b;2;4;0;
;M21b;2;5;-1;
;M21b;3;1;6;
;M21b;3;2;4;
;M21b;3;3;0;
;M21b;3;4;-1;
;M21b;3;5;-3;
;R4a;1;1;9;
;R4a;1;2;5;
;R4a;1;3;2;
;R4a;1;4;0;
;R4a;1;5;0;
;R4a;2;1;6;
;R4a;2;2;4;
;R4a;2;3;1;
;R4a;2;4;0;
;R4a;2;5;-4;
;R4a;3;1;3;
;R4a;3;2;1;
;R4a;3;3;0;
;R4a;3;4;-3;
;R4a;3;5;-9;
;R4b;1;1;9;
;R4b;1;2;5;
;R4b;1;3;2;
;R4b;1;4;0;
;R4b;1;5;0;
;R4b;2;1;6;
;R4b;2;2;4;
;R4b;2;3;1;
;R4b;2;4;0;
;R4b;2;5;-4;
;R4b;3;1;3;
;R4b;3;2;1;
;R4b;3;3;0;
;R4b;3;4;-3;
;R4b;3;5;-9;
