Groep;Biotaxon.naam;Biotaxon.naam_bron;KRWwatertype.code;Categorie;
;Acorus calamus;Acorus calamus;M10;5;
;Acorus calamus;Acorus calamus;M1a;5;
;Acorus calamus;Acorus calamus;M1b;5;
;Acorus calamus;Acorus calamus;M3;3;
;Acorus calamus;Acorus calamus;M8;5;
;Acorus calamus;Acorus calamus;R12;3;
;Acorus calamus;Acorus calamus;R14;4;
;Acorus calamus;Acorus calamus;R15;4;
;Acorus calamus;Acorus calamus;R17;5;
;Acorus calamus;Acorus calamus;R18;5;
;Acorus calamus;Acorus calamus;R19;3;
;Acorus calamus;Acorus calamus;R3;5;
;Acorus calamus;Acorus calamus;R4;4;
;Acorus calamus;Acorus calamus;R4a;4;
;Acorus calamus;Acorus calamus;R4b;4;
;Acorus calamus;Acorus calamus;R5;4;
;Acorus calamus;Acorus calamus;R6;4;
;Acorus calamus;Acorus calamus;R7;3;
;Acorus calamus;Acorus calamus;R8;4;
;Aegopodium podagraria;Aegopodium podagraria;R3;5;
;Agrostis canina;Agrostis canina;R20;2;
;Agrostis stolonifera;Agrostis stolonifera;M1a;3;
;Agrostis stolonifera;Agrostis stolonifera;M1b;2;
;Agrostis stolonifera;Agrostis stolonifera;M8;4;
;Agrostis stolonifera;Agrostis stolonifera;R1;5;
;Agrostis stolonifera;Agrostis stolonifera;R11;5;
;Agrostis stolonifera;Agrostis stolonifera;R12;4;
;Agrostis stolonifera;Agrostis stolonifera;R13;5;
;Agrostis stolonifera;Agrostis stolonifera;R17;5;
;Agrostis stolonifera;Agrostis stolonifera;R19;3;
;Agrostis stolonifera;Agrostis stolonifera;R2;5;
;Agrostis stolonifera;Agrostis stolonifera;R3;5;
;Agrostis stolonifera;Agrostis stolonifera;R6;4;
;Agrostis stolonifera;Agrostis stolonifera;R8;4;
;Alisma gramineum;Alisma gramineum;M11;1;
;Alisma gramineum;Alisma gramineum;M1a;1;
;Alisma gramineum;Alisma gramineum;M1b;2;
;Alisma gramineum;Alisma gramineum;M25;2;
;Alisma gramineum;Alisma gramineum;M26;1;
;Alisma gramineum;Alisma gramineum;M5;1;
;Alisma gramineum;Alisma gramineum;M8;2;
;Alisma gramineum;Alisma gramineum;R12;1;
;Alisma gramineum;Alisma gramineum;R16;1;
;Alisma gramineum;Alisma gramineum;R19;3;
;Alisma gramineum;Alisma gramineum;R4;2;
;Alisma gramineum;Alisma gramineum;R4a;2;
;Alisma gramineum;Alisma gramineum;R4b;2;
;Alisma gramineum;Alisma gramineum;R5;2;
;Alisma gramineum;Alisma gramineum;R6;2;
;Alisma gramineum;Alisma gramineum;R7;1;
;Alisma gramineum;Alisma gramineum;R8;2;
;Alisma lanceolatum;Alisma lanceolatum;M1a;3;
;Alisma lanceolatum;Alisma lanceolatum;M1b;3;
;Alisma lanceolatum;Alisma lanceolatum;M8;3;
;Alisma lanceolatum;Alisma lanceolatum;R12;4;
;Alisma lanceolatum;Alisma lanceolatum;R14;4;
;Alisma lanceolatum;Alisma lanceolatum;R15;4;
;Alisma lanceolatum;Alisma lanceolatum;R17;4;
;Alisma lanceolatum;Alisma lanceolatum;R18;4;
;Alisma lanceolatum;Alisma lanceolatum;R19;3;
;Alisma lanceolatum;Alisma lanceolatum;R3;3;
;Alisma lanceolatum;Alisma lanceolatum;R4;4;
;Alisma lanceolatum;Alisma lanceolatum;R4a;4;
;Alisma lanceolatum;Alisma lanceolatum;R4b;4;
;Alisma lanceolatum;Alisma lanceolatum;R5;4;
;Alisma lanceolatum;Alisma lanceolatum;R6;4;
;Alisma lanceolatum;Alisma lanceolatum;R7;3;
;Alisma lanceolatum;Alisma lanceolatum;R8;3;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M10;4;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M1a;4;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M1b;4;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M2;5;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M3;4;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M4;4;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M6a;1;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M6b;1;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M7a;1;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M7b;1;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M8;5;
;Alisma plantago-aquatica;Alisma plantago-aquatica;M9;4;
;Alisma plantago-aquatica;Alisma plantago-aquatica;R11;5;
;Alisma plantago-aquatica;Alisma plantago-aquatica;R12;3;
;Alisma plantago-aquatica;Alisma plantago-aquatica;R14;3;
;Alisma plantago-aquatica;Alisma plantago-aquatica;R15;4;
;Alisma plantago-aquatica;Alisma plantago-aquatica;R16;4;
;Alisma plantago-aquatica;Alisma plantago-aquatica;R17;5;
;Alisma plantago-aquatica;Alisma plantago-aquatica;R18;3;
