Familie;Familienummer;Biotaxon.naam_familie;Biotaxon.naam;
Trichoptera (kokerjuffers);315;Phryganeidae;Oligotricha;
Trichoptera (kokerjuffers);315;Phryganeidae;Phryganea;
Trichoptera (kokerjuffers);315;Phryganeidae;Phryganeidae;
Trichoptera (kokerjuffers);315;Phryganeidae;Trichostegia;
Trichoptera (kokerjuffers);315;Trichostegia;Trichostegia minor;
Trichoptera (kokerjuffers);316;Cyrnus;Cyrnus crenaticornis;
Trichoptera (kokerjuffers);316;Cyrnus;Cyrnus flavidus;
Trichoptera (kokerjuffers);316;Cyrnus;Cyrnus insolutus;
Trichoptera (kokerjuffers);316;Cyrnus;Cyrnus trimaculatus;
Trichoptera (kokerjuffers);316;Holocentropus;Holocentropus dubius;
Trichoptera (kokerjuffers);316;Holocentropus;Holocentropus insignis;
Trichoptera (kokerjuffers);316;Holocentropus;Holocentropus picicornis;
Trichoptera (kokerjuffers);316;Holocentropus;Holocentropus stagnalis;
Trichoptera (kokerjuffers);316;Lype;Lype phaeopa;
Trichoptera (kokerjuffers);316;Lype;Lype reducta;
Trichoptera (kokerjuffers);316;Neureclipsis;Neureclipsis bimaculata;
Trichoptera (kokerjuffers);316;Plectrocnemia;Plectrocnemia brevis;
Trichoptera (kokerjuffers);316;Plectrocnemia;Plectrocnemia conspersa;
Trichoptera (kokerjuffers);316;Plectrocnemia;Plectrocnemia geniculata;
Trichoptera (kokerjuffers);316;Polycentropodidae;Cyrnus;
Trichoptera (kokerjuffers);316;Polycentropodidae;Holocentropus;
Trichoptera (kokerjuffers);316;Polycentropodidae;Lype;
Trichoptera (kokerjuffers);316;Polycentropodidae;Neureclipsis;
Trichoptera (kokerjuffers);316;Polycentropodidae;Plectrocnemia;
Trichoptera (kokerjuffers);316;Polycentropodidae;Polycentropodidae;
Trichoptera (kokerjuffers);316;Polycentropodidae;Polycentropus;
Trichoptera (kokerjuffers);316;Polycentropodidae;Psychomyia;
Trichoptera (kokerjuffers);316;Polycentropodidae;Tinodes;
Trichoptera (kokerjuffers);316;Polycentropus;Polycentropus flavomaculatus;
Trichoptera (kokerjuffers);316;Polycentropus;Polycentropus irroratus;
Trichoptera (kokerjuffers);316;Psychomyia;Psychomyia pusilla;
Trichoptera (kokerjuffers);316;Tinodes;Tinodes assimilis;
Trichoptera (kokerjuffers);316;Tinodes;Tinodes maculicornis;
Trichoptera (kokerjuffers);316;Tinodes;Tinodes pallidulus;
Trichoptera (kokerjuffers);316;Tinodes;Tinodes rostocki;
Trichoptera (kokerjuffers);316;Tinodes;Tinodes unicolor;
Trichoptera (kokerjuffers);316;Tinodes;Tinodes waeneri;
Trichoptera (kokerjuffers);317;Psychomyiidae;Psychomyiidae;
Trichoptera (kokerjuffers);319;Rhyacophila;Rhyacophila dorsalis;
Trichoptera (kokerjuffers);319;Rhyacophila;Rhyacophila fasciata;
Trichoptera (kokerjuffers);319;Rhyacophila;Rhyacophila nubila;
Trichoptera (kokerjuffers);319;Rhyacophila;Rhyacophila vulgaris;
Trichoptera (kokerjuffers);319;Rhyacophilidae;Rhyacophila;
Trichoptera (kokerjuffers);319;Rhyacophilidae;Rhyacophilidae;
Trichoptera (kokerjuffers);320;Notidobia;Notidobia ciliaris;
Trichoptera (kokerjuffers);320;Sericostoma;Sericostoma flavicorne;
Trichoptera (kokerjuffers);320;Sericostoma;Sericostoma personatum;
Trichoptera (kokerjuffers);320;Sericostomatidae;Notidobia;
Trichoptera (kokerjuffers);320;Sericostomatidae;Sericostoma;
Trichoptera (kokerjuffers);320;Sericostomatidae;Sericostomatidae;
